frase,situacao
Sinto suor excessivo associada a tontura na coluna ao acordar,baixo risco
Tenho persistente falta de ar na coluna após esforço,alto risco
rigidez muscular intensa no peito há 2 dias,alto risco
Tenho contínua dor de cabeça nos braços após comer,alto risco
Sinto cansaço associada a suor excessivo nos olhos após esforço,baixo risco
Sinto formigamento e perda de visão nas mãos após esforço,alto risco
Sensação de falta de ar repentina de manhã,baixo risco
Tenho contínua inquietação no abdômen há 2 dias,alto risco
Apresentei leve suor excessivo associada a dor no peito na cabeça,alto risco
Sinto inchaço seguida de suor excessivo no abdômen ao acordar,baixo risco
Apresentei forte desconforto e dor nas costas,alto risco
Apresentei moderada perda de visão com confusão mental no abdômen,alto risco
Apresentei contínua inchaço e inchaço na coluna,alto risco
Sinto coceira seguida de rigidez muscular na cabeça durante a noite,alto risco
náusea forte nas mãos à noite,baixo risco
dor abdominal contínua nos pés após esforço,alto risco
Sensação de perda de equilíbrio crônica ao acordar,baixo risco
Apresentei intensa confusão mental seguida de perda de visão na lombar,baixo risco
Sinto dor abdominal com febre na cabeça ao levantar,alto risco
formigamento contínua nos olhos após esforço,baixo risco
Sinto dor associada a fraqueza no peito há uma semana,baixo risco
Sinto falta de ar seguida de dor na coluna após esforço,baixo risco
Apresentei forte dor abdominal seguida de febre nas costas,alto risco
Sensação de perda de equilíbrio forte de manhã,baixo risco
Tenho aguda desconforto nas pernas durante a noite,alto risco
dor no peito intensa nas costas após esforço,alto risco
Sinto inquietação junto com formigamento nos olhos durante o repouso,baixo risco
Sensação de cansaço forte após comer,baixo risco
Tenho intensa dor no peito na coluna após esforço,alto risco
Sinto tontura junto com dor nos braços ao acordar,baixo risco
coceira leve nos braços há uma semana,alto risco
Sinto tosse e perda de equilíbrio na garganta durante a noite,alto risco
Tenho forte febre nos olhos após esforço,alto risco
Sensação de confusão mental forte durante a noite,alto risco
Apresentei contínua náusea seguida de perda de equilíbrio nas costas,baixo risco
náusea persistente na garganta durante a noite,alto risco
Apresentei repentina rigidez muscular com dor nos olhos,alto risco
Tenho crônica tosse no peito ao levantar,baixo risco
Sensação de dor abdominal contínua após comer,alto risco
Sensação de fraqueza repentina há uma semana,baixo risco
Sinto desconforto junto com palpitação na cabeça ao acordar,alto risco
náusea repentina na coluna há uma semana,baixo risco
Tenho moderada inchaço no peito após comer,alto risco
palpitação intensa nos olhos ao levantar,baixo risco
Sinto coceira com confusão mental no abdômen à noite,alto risco
Sinto dor e confusão mental no abdômen durante o repouso,baixo risco
fraqueza intensa nas mãos ao levantar,baixo risco
Apresentei leve cansaço seguida de palpitação nas mãos,alto risco
Sensação de febre leve ao acordar,baixo risco
confusão mental intensa no peito após esforço,baixo risco
dor forte nos pés após comer,baixo risco
Tenho crônica fraqueza no peito durante o repouso,alto risco
Apresentei intermitente confusão mental com fraqueza no abdômen,baixo risco
Sinto rigidez muscular seguida de palpitação nos olhos à noite,baixo risco
Sensação de falta de ar contínua à noite,alto risco
Apresentei aguda cansaço seguida de náusea na cabeça,baixo risco
Apresentei leve tontura junto com coceira nos olhos,baixo risco
Sinto confusão mental com fraqueza na lombar à noite,baixo risco
Tenho moderada confusão mental na lombar há uma semana,alto risco
Sinto dor no peito junto com dor abdominal nos pés ao acordar,baixo risco
formigamento intermitente nos pés durante a noite,baixo risco
Sinto falta de ar junto com desconforto nas pernas de manhã,alto risco
Tenho persistente inquietação na garganta após comer,baixo risco
Sinto tosse junto com desconforto nos olhos à noite,baixo risco
Apresentei intensa palpitação e calafrio nos pés,baixo risco
dor no peito persistente na garganta de manhã,baixo risco
Sinto aperto e rigidez muscular nos braços de manhã,baixo risco
Sensação de calafrio intermitente após esforço,alto risco
Apresentei aguda dor de cabeça com rigidez muscular nos olhos,alto risco
Sinto tontura e febre nos pés há uma semana,baixo risco
Sinto náusea associada a náusea na coluna de manhã,alto risco
Sensação de aperto crônica durante o repouso,baixo risco
Sensação de dor no peito intensa à noite,baixo risco
Tenho aguda inchaço na coluna durante a noite,alto risco
dor aguda na coluna ao levantar,baixo risco
dor abdominal intensa na coluna há uma semana,baixo risco
Sensação de palpitação contínua após esforço,alto risco
Apresentei forte dor no peito junto com dor no peito na cabeça,baixo risco
Sinto aperto e falta de ar nas pernas ao acordar,alto risco
Sensação de febre intensa ao acordar,alto risco
dor de cabeça forte na cabeça após esforço,baixo risco
Apresentei leve dor de cabeça associada a dor nas pernas,alto risco
Sinto formigamento associada a perda de visão nos braços há 2 dias,alto risco
Sensação de formigamento aguda durante o repouso,baixo risco
inchaço intensa na coluna ao levantar,alto risco
Apresentei crônica náusea com suor excessivo na lombar,baixo risco
cansaço aguda na garganta após esforço,alto risco
Apresentei leve suor excessivo com desconforto nos braços,baixo risco
Tenho leve febre no peito ao levantar,baixo risco
Sinto rigidez muscular seguida de dor nas costas à noite,baixo risco
Tenho intermitente dor nos olhos ao acordar,baixo risco
Apresentei contínua formigamento junto com dor no peito nas mãos,alto risco
Sensação de aperto crônica durante a noite,alto risco
Sinto palpitação junto com rigidez muscular nas pernas ao acordar,alto risco
Sinto confusão mental e perda de visão na garganta após comer,baixo risco
Tenho crônica calafrio nos pés ao levantar,baixo risco
Sensação de febre contínua de manhã,baixo risco
Apresentei intensa perda de visão seguida de desconforto na lombar,alto risco
Tenho intensa formigamento na garganta após esforço,baixo risco
Apresentei leve febre seguida de dor na coluna,alto risco
Sinto tosse associada a falta de ar nos braços há uma semana,alto risco
Apresentei persistente perda de visão junto com perda de visão na garganta,alto risco
Apresentei contínua palpitação com tontura nos pés,alto risco
Tenho intensa perda de equilíbrio no abdômen há 2 dias,baixo risco
Apresentei contínua tontura associada a desconforto nos pés,baixo risco
Tenho leve rigidez muscular nos olhos ao acordar,baixo risco
fraqueza leve na coluna após esforço,baixo risco
falta de ar persistente nos olhos há uma semana,baixo risco
Sinto formigamento associada a confusão mental nos pés após comer,baixo risco
Tenho persistente dor no peito no peito após esforço,baixo risco
Apresentei intensa coceira associada a perda de visão no abdômen,baixo risco
Apresentei leve inquietação com fraqueza na cabeça,alto risco
dor forte nas pernas há uma semana,baixo risco
Sinto rigidez muscular junto com suor excessivo na garganta ao acordar,baixo risco
Sensação de calafrio crônica à noite,alto risco
Sinto desconforto com formigamento nas mãos ao levantar,alto risco
falta de ar contínua na cabeça ao acordar,baixo risco
perda de visão crônica no peito ao acordar,alto risco
Tenho repentina suor excessivo nos olhos de manhã,alto risco
Apresentei intermitente confusão mental e perda de visão nas pernas,baixo risco
calafrio forte na lombar ao acordar,alto risco
Sinto tontura e aperto nas pernas ao acordar,baixo risco
Tenho leve dor abdominal no peito após esforço,baixo risco
Tenho intermitente palpitação nos olhos durante a noite,alto risco
Apresentei intensa rigidez muscular e inchaço no peito,alto risco
Sinto tontura associada a coceira na cabeça de manhã,alto risco
Tenho aguda palpitação nas mãos durante o repouso,baixo risco
Tenho crônica falta de ar nos pés após comer,baixo risco
inchaço leve na garganta há 2 dias,baixo risco
Sinto desconforto junto com perda de equilíbrio nos pés há 2 dias,baixo risco
Sensação de fraqueza forte após esforço,alto risco
Tenho persistente inchaço na coluna ao acordar,alto risco
Apresentei forte formigamento e desconforto nos olhos,baixo risco
Sensação de confusão mental crônica após esforço,baixo risco
Sinto fraqueza junto com dor no abdômen ao acordar,baixo risco
Sinto coceira junto com febre nas mãos ao levantar,baixo risco
Apresentei contínua formigamento com dor abdominal nas mãos,baixo risco
Apresentei crônica rigidez muscular seguida de inquietação nos braços,alto risco
Tenho crônica perda de equilíbrio no abdômen há uma semana,baixo risco
Apresentei moderada inchaço e dor abdominal nos pés,baixo risco
Apresentei aguda perda de visão seguida de dor no peito nas costas,baixo risco
Tenho crônica tosse nos braços de manhã,alto risco
Apresentei leve inchaço junto com cansaço no peito,alto risco
Sensação de suor excessivo forte ao acordar,alto risco
Tenho intensa formigamento na cabeça durante a noite,baixo risco
Sinto náusea associada a inchaço nos braços após esforço,baixo risco
Sinto inquietação com tontura na coluna de manhã,baixo risco
Sinto desconforto seguida de dor no peito nas pernas há 2 dias,alto risco
Sensação de suor excessivo intermitente de manhã,baixo risco
Sinto fraqueza e dor na lombar durante o repouso,alto risco
Tenho moderada dor no peito nos braços de manhã,alto risco
Sensação de dor leve após comer,alto risco
Sinto calafrio junto com febre na garganta após comer,baixo risco
Apresentei forte perda de visão junto com inchaço na lombar,baixo risco
Apresentei crônica cansaço junto com perda de visão na garganta,alto risco
Apresentei moderada inquietação com falta de ar nos olhos,alto risco
dor de cabeça crônica nas costas à noite,baixo risco
Tenho intensa desconforto nas pernas durante o repouso,baixo risco
inquietação repentina nos olhos durante o repouso,baixo risco
Tenho crônica perda de equilíbrio nas costas após esforço,alto risco
náusea crônica no abdômen durante a noite,alto risco
Tenho leve coceira nas costas durante a noite,alto risco
Tenho persistente fraqueza nos braços ao levantar,alto risco
Sinto perda de equilíbrio com tosse na coluna ao levantar,alto risco
Sensação de tosse contínua à noite,baixo risco
Sinto náusea seguida de aperto nas mãos de manhã,baixo risco
Apresentei persistente confusão mental com palpitação no abdômen,baixo risco
Tenho crônica cansaço na coluna após esforço,alto risco
Tenho forte febre nas pernas ao acordar,baixo risco
Sinto dor de cabeça junto com formigamento nas costas há 2 dias,baixo risco
Tenho leve falta de ar no abdômen após esforço,alto risco
Tenho forte perda de visão no peito de manhã,baixo risco
Sensação de tontura crônica ao levantar,baixo risco
Sensação de suor excessivo intermitente após esforço,alto risco
Sinto náusea seguida de calafrio nos braços à noite,alto risco
Sinto calafrio seguida de rigidez muscular na cabeça de manhã,baixo risco
Tenho crônica tontura nos olhos durante a noite,baixo risco
Tenho repentina dor abdominal nas costas durante a noite,baixo risco
Tenho crônica febre na lombar ao acordar,baixo risco
Sensação de calafrio aguda durante o repouso,baixo risco
Sensação de aperto repentina há uma semana,baixo risco
Sinto dor de cabeça e confusão mental nos braços há uma semana,alto risco
Sensação de coceira forte durante o repouso,baixo risco
Sinto perda de equilíbrio junto com dor nas pernas durante o repouso,baixo risco
perda de visão aguda nas mãos há uma semana,baixo risco
Apresentei moderada calafrio junto com palpitação nas costas,alto risco
Tenho intensa palpitação na lombar há 2 dias,alto risco
Sensação de cansaço forte durante a noite,alto risco
falta de ar crônica na coluna à noite,alto risco
Sinto perda de equilíbrio seguida de desconforto nos pés à noite,baixo risco
Tenho leve dor nas mãos durante a noite,baixo risco
Sensação de dor abdominal repentina à noite,alto risco
Tenho forte perda de equilíbrio no abdômen à noite,alto risco
Apresentei persistente perda de equilíbrio junto com suor excessivo no peito,alto risco
Sensação de inquietação repentina ao acordar,alto risco
Sinto confusão mental associada a suor excessivo na cabeça à noite,alto risco
falta de ar contínua na coluna após esforço,baixo risco
Sinto formigamento associada a dor na cabeça durante a noite,alto risco
Sensação de febre leve após comer,alto risco
Sensação de formigamento repentina ao levantar,baixo risco
Tenho intermitente calafrio nos braços há 2 dias,baixo risco
tontura crônica no abdômen ao levantar,baixo risco
suor excessivo forte nos pés após comer,baixo risco
Sinto palpitação seguida de náusea na coluna há 2 dias,alto risco
Apresentei contínua perda de visão e dor abdominal nos pés,alto risco
Sensação de rigidez muscular intensa há uma semana,baixo risco
Tenho persistente desconforto na coluna há 2 dias,alto risco
Apresentei leve suor excessivo seguida de náusea nos pés,alto risco
Sinto febre seguida de dor no peito nas mãos ao levantar,baixo risco
Sensação de falta de ar leve à noite,alto risco
Apresentei crônica suor excessivo e coceira na lombar,alto risco
Sensação de tosse contínua após esforço,baixo risco
Sensação de inchaço contínua após comer,alto risco
Apresentei repentina desconforto junto com dor nos pés,baixo risco
Sensação de dor abdominal intermitente há uma semana,baixo risco
Sinto fraqueza e dor nas pernas à noite,alto risco
Sensação de falta de ar persistente durante a noite,alto risco
fraqueza moderada na garganta à noite,alto risco
perda de equilíbrio forte nas mãos após comer,baixo risco
Sinto perda de visão seguida de inchaço nas costas após esforço,alto risco
Sinto náusea junto com dor abdominal na cabeça após comer,alto risco
Tenho repentina tosse na garganta após comer,alto risco
Tenho persistente desconforto nos braços há uma semana,alto risco
Tenho crônica dor nas mãos há uma semana,baixo risco
Apresentei repentina febre e aperto na cabeça,alto risco
Apresentei forte dor abdominal junto com formigamento na cabeça,baixo risco
Tenho aguda confusão mental nos olhos após comer,alto risco
Tenho persistente dor de cabeça na garganta após esforço,alto risco
palpitação contínua na lombar após comer,baixo risco
Sinto perda de visão e aperto na cabeça há 2 dias,baixo risco
Sinto desconforto seguida de coceira no abdômen durante a noite,alto risco
falta de ar intermitente nos pés durante a noite,alto risco
Sinto fraqueza seguida de palpitação na cabeça durante o repouso,alto risco
Sinto inquietação seguida de calafrio nas mãos à noite,baixo risco
Apresentei forte dor no peito e palpitação nas mãos,baixo risco
Apresentei crônica perda de visão associada a tosse nos olhos,alto risco
Apresentei persistente rigidez muscular seguida de perda de visão na cabeça,alto risco
Apresentei forte formigamento junto com calafrio na garganta,alto risco
Apresentei intermitente dor abdominal junto com fraqueza na coluna,alto risco
Tenho crônica falta de ar nas mãos após esforço,alto risco
Sinto febre com tosse na lombar há 2 dias,baixo risco
Tenho persistente inquietação nas costas de manhã,alto risco
dor aguda na garganta após comer,alto risco
Sinto suor excessivo junto com dor de cabeça nos olhos durante o repouso,baixo risco
Tenho aguda formigamento nos olhos há uma semana,baixo risco
dor forte na coluna durante o repouso,alto risco
Apresentei moderada tosse associada a dor na cabeça,baixo risco
Apresentei crônica suor excessivo e suor excessivo nos pés,baixo risco
Apresentei crônica confusão mental e perda de visão nas pernas,alto risco
coceira moderada no abdômen ao acordar,baixo risco
confusão mental forte nos braços há uma semana,alto risco
Sinto náusea associada a formigamento nas pernas há uma semana,alto risco
Sensação de tosse intermitente durante a noite,baixo risco
Apresentei aguda falta de ar associada a dor abdominal nas costas,baixo risco
Tenho crônica perda de equilíbrio na lombar ao acordar,alto risco
Sinto fraqueza com confusão mental na lombar há 2 dias,alto risco
dor no peito moderada nas pernas após esforço,alto risco
desconforto contínua nas pernas durante o repouso,baixo risco
palpitação moderada nas pernas de manhã,baixo risco
Sinto palpitação associada a tosse na garganta há 2 dias,baixo risco
Sinto palpitação seguida de inchaço no abdômen à noite,baixo risco
Sinto palpitação junto com falta de ar nas mãos há uma semana,baixo risco
Sinto febre com tontura nas costas há 2 dias,alto risco
falta de ar persistente na lombar à noite,alto risco
Apresentei intermitente coceira junto com dor abdominal no peito,alto risco
inchaço leve nos olhos há 2 dias,baixo risco
Tenho crônica palpitação na garganta à noite,baixo risco
formigamento forte no abdômen há 2 dias,baixo risco
Sensação de calafrio intensa há uma semana,baixo risco
Tenho moderada perda de equilíbrio nas mãos ao levantar,baixo risco
palpitação leve na lombar de manhã,baixo risco
Tenho forte dor no peito nos braços após esforço,alto risco
Sensação de cansaço intensa ao acordar,baixo risco
perda de equilíbrio persistente na cabeça há 2 dias,baixo risco
Sinto desconforto seguida de aperto no peito de manhã,baixo risco
desconforto repentina nas mãos após esforço,alto risco
náusea forte na lombar de manhã,alto risco
Apresentei leve suor excessivo seguida de dor no peito nas mãos,baixo risco
Apresentei leve cansaço e febre no abdômen,alto risco
Sinto suor excessivo junto com perda de equilíbrio na cabeça ao acordar,alto risco
falta de ar forte no abdômen durante o repouso,baixo risco
Sinto cansaço junto com dor no peito na coluna à noite,baixo risco
perda de equilíbrio crônica nas mãos após comer,alto risco
formigamento repentina nos olhos durante o repouso,alto risco
Sinto dor associada a calafrio na cabeça ao acordar,baixo risco
Sensação de formigamento intensa após esforço,alto risco
calafrio intensa na coluna durante o repouso,alto risco
Sinto cansaço associada a confusão mental nas mãos ao acordar,alto risco
dor aguda no peito à noite,alto risco
Tenho aguda febre nas costas durante a noite,alto risco
Sinto perda de equilíbrio junto com dor nas mãos de manhã,baixo risco
Sensação de rigidez muscular intensa durante a noite,baixo risco
Sinto tontura com perda de visão na cabeça ao acordar,alto risco
Tenho intensa confusão mental nas costas ao acordar,alto risco
Tenho crônica coceira nos pés há 2 dias,alto risco
Tenho moderada fraqueza nas mãos há 2 dias,baixo risco
Sinto rigidez muscular junto com tosse nas costas à noite,baixo risco
Apresentei persistente formigamento com palpitação nas costas,baixo risco
Sensação de náusea intensa há uma semana,alto risco
Sinto náusea com náusea nas costas ao acordar,alto risco
Apresentei contínua dor no peito e aperto no peito,alto risco
Apresentei crônica dor com formigamento nos olhos,alto risco
Tenho aguda formigamento na lombar ao levantar,alto risco
Apresentei crônica cansaço com calafrio na coluna,baixo risco
Tenho intermitente inchaço nos pés há uma semana,alto risco
confusão mental intermitente na coluna durante o repouso,alto risco
Apresentei persistente inquietação seguida de dor de cabeça na coluna,alto risco
Apresentei repentina inchaço com tosse na garganta,baixo risco
Sensação de falta de ar leve há uma semana,alto risco
Apresentei leve formigamento e inquietação nos olhos,baixo risco
Sensação de cansaço crônica durante o repouso,baixo risco
Sensação de inquietação leve após esforço,baixo risco
inquietação forte na garganta há uma semana,baixo risco
Sinto formigamento junto com confusão mental no peito após esforço,alto risco
Apresentei persistente dor junto com inquietação na garganta,alto risco
Apresentei forte dor seguida de suor excessivo na cabeça,alto risco
Sinto náusea seguida de calafrio nos braços há 2 dias,baixo risco
Apresentei crônica desconforto e tosse nos olhos,baixo risco
Apresentei persistente dor e falta de ar na cabeça,baixo risco
Sensação de confusão mental repentina à noite,alto risco
Tenho intensa perda de equilíbrio na cabeça durante o repouso,baixo risco
Apresentei crônica perda de equilíbrio e perda de equilíbrio na garganta,alto risco
Sinto perda de visão seguida de falta de ar nas mãos durante o repouso,alto risco
Sensação de rigidez muscular persistente há 2 dias,alto risco
Sensação de cansaço contínua à noite,alto risco
Apresentei moderada cansaço seguida de palpitação no peito,alto risco
dor abdominal intensa na coluna de manhã,baixo risco
Apresentei contínua desconforto associada a calafrio nas pernas,baixo risco
Apresentei leve falta de ar seguida de cansaço nas pernas,baixo risco
Sinto formigamento seguida de dor na garganta ao levantar,baixo risco
Tenho intermitente tosse na garganta há uma semana,baixo risco
Apresentei leve coceira associada a fraqueza na cabeça,alto risco
confusão mental forte na garganta há uma semana,alto risco
Apresentei intensa desconforto e desconforto nas costas,alto risco
Sinto suor excessivo com tontura na cabeça após esforço,baixo risco
Tenho contínua aperto na cabeça após esforço,alto risco
Apresentei contínua desconforto com fraqueza nos pés,alto risco
Sinto tontura com palpitação no abdômen durante o repouso,alto risco
desconforto intermitente no abdômen após esforço,alto risco
Apresentei intermitente febre associada a suor excessivo nos pés,alto risco
Apresentei aguda perda de equilíbrio associada a inchaço nos braços,alto risco
Sinto fraqueza associada a coceira nos olhos durante a noite,alto risco
febre intermitente nas costas ao acordar,baixo risco
Apresentei contínua dor no peito seguida de dor no peito na coluna,baixo risco
Apresentei leve fraqueza e perda de visão nas costas,alto risco
fraqueza intermitente nas mãos há 2 dias,baixo risco
Tenho contínua inchaço nas costas ao levantar,baixo risco
aperto intermitente nos olhos à noite,alto risco
Sinto fraqueza junto com perda de visão nos pés à noite,baixo risco
Sinto febre e tosse na coluna ao levantar,baixo risco
Apresentei intermitente cansaço junto com febre no abdômen,alto risco
Tenho contínua dor nos olhos após comer,baixo risco
dor abdominal forte na lombar há 2 dias,baixo risco
Apresentei crônica aperto associada a palpitação nas costas,baixo risco
tosse persistente na coluna após esforço,alto risco
Tenho intensa aperto nos braços à noite,alto risco
Apresentei repentina dor junto com palpitação nas pernas,baixo risco
Apresentei crônica náusea associada a formigamento nos braços,baixo risco
falta de ar contínua nas mãos ao acordar,alto risco
perda de equilíbrio repentina nas mãos após comer,alto risco
inchaço aguda no abdômen de manhã,baixo risco
Sinto confusão mental e perda de visão nos olhos ao levantar,alto risco
inchaço leve no peito durante a noite,baixo risco
Sinto inquietação com dor na cabeça à noite,baixo risco
Sinto náusea junto com falta de ar nas costas durante a noite,baixo risco
Sinto tontura com dor no peito no abdômen após esforço,alto risco
Tenho repentina falta de ar nos braços durante a noite,baixo risco
Tenho aguda perda de equilíbrio nos olhos ao acordar,alto risco
Sinto formigamento junto com dor de cabeça nas mãos à noite,baixo risco
Sensação de desconforto repentina ao levantar,baixo risco
Apresentei crônica falta de ar e febre nos braços,alto risco
Tenho repentina cansaço nos pés à noite,baixo risco
febre moderada na cabeça após comer,alto risco
falta de ar aguda nos olhos ao acordar,alto risco
Apresentei intensa aperto e confusão mental nas mãos,baixo risco
Tenho moderada dor de cabeça na garganta após esforço,baixo risco
Apresentei moderada coceira seguida de dor no peito no peito,baixo risco
Sinto dor no peito associada a suor excessivo na cabeça há 2 dias,baixo risco
Sinto formigamento com dor nas mãos ao levantar,alto risco
Tenho persistente perda de equilíbrio nas pernas ao acordar,alto risco
tontura intensa na cabeça durante a noite,alto risco
Apresentei leve inchaço seguida de dor no peito nas mãos,baixo risco
Apresentei repentina dor e náusea no abdômen,baixo risco
Tenho aguda formigamento nos pés após comer,baixo risco
Tenho moderada febre na lombar de manhã,alto risco
Apresentei moderada formigamento seguida de febre no peito,baixo risco
Sinto falta de ar junto com dor abdominal na lombar de manhã,baixo risco
Tenho crônica inchaço no peito após esforço,baixo risco
Apresentei contínua dor de cabeça seguida de dor no peito na coluna,alto risco
dor de cabeça leve na garganta durante a noite,baixo risco
falta de ar crônica nos pés após comer,baixo risco
Apresentei aguda palpitação seguida de tosse nas costas,baixo risco
Sensação de tosse crônica à noite,alto risco
Tenho moderada aperto nas pernas ao levantar,alto risco
Tenho intermitente tosse na garganta ao acordar,baixo risco
náusea intensa nas mãos após comer,alto risco
Apresentei crônica tosse com perda de visão nas mãos,alto risco
Tenho forte dor no peito nas costas há 2 dias,alto risco
Sinto aperto e rigidez muscular no peito à noite,alto risco
tontura intensa nas pernas após esforço,baixo risco
inchaço crônica nas costas ao levantar,alto risco
